country,city,business_slice,month,trips_month_fact,trips_recomputed,trips_resolved,diff_trips_abs,diff_trips_pct,revenue_month_fact,revenue_recomputed,revenue_resolved,diff_revenue_abs,diff_revenue_pct,month_refreshed_at,day_refreshed_at,first_day,last_day,distinct_days,status,suspected_cause
colombia,barranquilla,Auto regular,2025-12-01,39051.0,39051.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:06.859266-05:00,2026-04-13 10:52:30.797677-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,barranquilla,Delivery moto,2025-12-01,3567.0,3567.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:06.859266-05:00,2026-04-13 10:52:30.797677-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,bogota,Carga,2025-12-01,4819.0,4819.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:25.556827-05:00,2026-04-13 10:52:48.147350-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,bucaramanga,Auto regular,2025-12-01,7.0,7.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:27.216418-05:00,2026-04-13 10:52:50.000290-05:00,2025-12-01,2025-12-30,22,ok,negligible
colombia,bucaramanga,Taxi Moto,2025-12-01,136.0,136.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:27.216418-05:00,2026-04-13 10:52:50.000290-05:00,2025-12-01,2025-12-30,23,ok,negligible
colombia,cali,Auto regular,2025-12-01,214371.0,214371.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:28.811388-05:00,2026-04-13 10:52:51.795919-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,cali,Taxi Moto,2025-12-01,81576.0,81576.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:49:28.811388-05:00,2026-04-13 10:52:51.795919-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,cucuta,Auto regular,2025-12-01,133.0,133.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:33.016697-05:00,2026-04-13 10:53:56.596055-05:00,2025-12-01,2025-12-31,27,ok,negligible
colombia,cucuta,Taxi Moto,2025-12-01,534.0,534.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:33.016697-05:00,2026-04-13 10:53:56.596055-05:00,2025-12-01,2025-12-31,28,ok,negligible
colombia,medellin,Auto regular,2025-12-01,2949.0,2949.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:34.704904-05:00,2026-04-13 10:53:58.475517-05:00,2025-12-01,2025-12-31,31,ok,negligible
colombia,medellin,Delivery moto,2025-12-01,32.0,32.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:34.704904-05:00,2026-04-13 10:53:58.475517-05:00,2025-12-01,2025-12-29,17,ok,negligible
colombia,medellin,Taxi Moto,2025-12-01,1211.0,1211.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:34.704904-05:00,2026-04-13 10:53:58.475517-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,arequipa,Auto regular,2025-12-01,19621.0,19621.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:38.452957-05:00,2026-04-13 10:54:02.429622-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,Auto regular,2025-12-01,436291.0,436291.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,Carga,2025-12-01,936.0,936.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,Delivery,2025-12-01,9224.0,9224.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,PRO,2025-12-01,22994.0,22994.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,Tuk Tuk,2025-12-01,18603.0,18603.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,lima,YMA,2025-12-01,6373.0,6373.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:50:41.882941-05:00,2026-04-13 10:54:06.038132-05:00,2025-12-01,2025-12-31,31,ok,negligible
peru,trujillo,Auto regular,2025-12-01,39562.0,39562.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-13 10:52:26.451257-05:00,2026-04-13 10:55:50.241451-05:00,2025-12-01,2025-12-31,31,ok,negligible
